question,slug,url,volume24hr,volumeTotal,liquidity,endDate,category,outcomes
Will Jerome Powell depart as Fed Chair between June 20 and June 26?,will-jerome-powell-depart-as-fed-chair-between-june-20-and-june-26,https://polymarket.com/event/will-jerome-powell-depart-as-fed-chair-between-june-20-and-june-26,0.0,1335.2588029999997,6802.4207,2026-07-03T00:00:00Z,Fed,Yes=0.065 / No=0.935
Will Jerome Powell depart as Fed Chair between June 13 and June 19?,will-jerome-powell-depart-as-fed-chair-between-june-13-and-june-19,https://polymarket.com/event/will-jerome-powell-depart-as-fed-chair-between-june-13-and-june-19,0.0,1594.444337,4759.57578,2026-07-03T00:00:00Z,Fed,Yes=0.0405 / No=0.9595
Will Jerome Powell depart as Fed Chair between June 6 and June 12?,will-jerome-powell-depart-as-fed-chair-between-june-6-and-june-12,https://polymarket.com/event/will-jerome-powell-depart-as-fed-chair-between-june-6-and-june-12,0.0,1151.2847040000001,5843.6245,2026-07-03T00:00:00Z,Fed,Yes=0.14 / No=0.86
Will the Fed’s lower bound reach 1.75% or lower before 2027?,will-the-feds-lower-bound-reach-1pt75-or-lower-before-2027-123-334-678-153-953-848-473,https://polymarket.com/event/will-the-feds-lower-bound-reach-1pt75-or-lower-before-2027-123-334-678-153-953-848-473,0.0,7427.410776000001,8572.6473,2026-12-31T00:00:00Z,Fed,Yes=0.065 / No=0.935
"Will no final Senate confirmation vote be held for Trump’s Fed Chair nominee by December 31, 2026?",will-no-final-senate-confirmation-vote-be-held-for-trumps-fed-chair-nominee-by-december-31-2026-993,https://polymarket.com/event/will-no-final-senate-confirmation-vote-be-held-for-trumps-fed-chair-nominee-by-december-31-2026-993,0.0,0.0,615.65273,2026-12-31T00:00:00Z,Fed,Yes=0.316 / No=0.684
Will world GDP growth be ≤2.9% in 2026?,will-world-gdp-growth-be-2pt9-in-2026,https://polymarket.com/event/will-world-gdp-growth-be-2pt9-in-2026,0.0,3742.6828440000004,596.831,2027-01-15T00:00:00Z,GDP,Yes=0.285 / No=0.715
Will world GDP growth be 3.0% in 2026?,will-world-gdp-growth-be-3pt0-in-2026,https://polymarket.com/event/will-world-gdp-growth-be-3pt0-in-2026,0.0,405.159231,658.44648,2027-01-15T00:00:00Z,GDP,Yes=0.1715 / No=0.8285
Will the Bank of Israel decrease the Bank of Israel Interest Rate after the July decision?,will-the-bank-of-israel-decrease-the-bank-of-israel-interest-rate-after-the-july-decision,https://polymarket.com/event/will-the-bank-of-israel-decrease-the-bank-of-israel-interest-rate-after-the-july-decision,0.0,110.30581900000001,397.7995,2026-07-06T00:00:00Z,Fed,Yes=0.31 / No=0.69
Fed Rate Hike by September 2026 Meeting?,fed-rate-hike-by-september-2026-meeting,https://polymarket.com/event/fed-rate-hike-by-september-2026-meeting,0.0,33.480673,15574.2582,2026-12-09T00:00:00Z,Fed,Yes=0.16 / No=0.84
Fed Rate Hike by July 2026 Meeting?,fed-rate-hike-by-july-2026-meeting,https://polymarket.com/event/fed-rate-hike-by-july-2026-meeting,0.0,670.6875729999998,19585.5039,2026-12-09T00:00:00Z,Fed,Yes=0.085 / No=0.915
Will South African inflation be between 4.7% and 5.0% in 2026?,will-south-african-inflation-be-between-4pt7-and-5pt0-in-2026,https://polymarket.com/event/will-south-african-inflation-be-between-4pt7-and-5pt0-in-2026,0.0,361.359338,1348.0635,2027-01-20T00:00:00Z,CPI,Yes=0.22 / No=0.78
Will South African inflation be greater than 5.0% in 2026?,will-south-african-inflation-be-greater-than-5pt0-in-2026,https://polymarket.com/event/will-south-african-inflation-be-greater-than-5pt0-in-2026,0.0,5925.1722359999985,765.42318,2027-01-20T00:00:00Z,CPI,Yes=0.2845 / No=0.7155
Will the Bank of Israel increase the Bank of Israel Interest Rate after the July decision?,will-the-bank-of-israel-increase-the-bank-of-israel-interest-rate-after-the-july-decision,https://polymarket.com/event/will-the-bank-of-israel-increase-the-bank-of-israel-interest-rate-after-the-july-decision,0.0,136.347348,175.53777,2026-07-06T00:00:00Z,Fed,Yes=0.0115 / No=0.9885
Will the Bank of Israel make no change to the Bank of Israel Interest Rate after the July decision?,will-the-bank-of-israel-make-no-change-to-the-bank-of-israel-interest-rate-after-the-july-decision,https://polymarket.com/event/will-the-bank-of-israel-make-no-change-to-the-bank-of-israel-interest-rate-after-the-july-decision,0.0,186.23684499999996,125.4956,2026-07-06T00:00:00Z,Fed,Yes=0.69 / No=0.31
Will the Fed’s lower bound reach 1.0% or lower before 2027?,will-the-feds-lower-bound-reach-1pt0-or-lower-before-2027-913-827-367-957-973-514,https://polymarket.com/event/will-the-feds-lower-bound-reach-1pt0-or-lower-before-2027-913-827-367-957-973-514,0.0,1766.279595,8484.37129,2026-12-31T00:00:00Z,Fed,Yes=0.0875 / No=0.9125
Will world GDP growth be 3.1% in 2026?,will-world-gdp-growth-be-3pt1-in-2026,https://polymarket.com/event/will-world-gdp-growth-be-3pt1-in-2026,0.0,367.8884110000001,646.5554,2027-01-15T00:00:00Z,GDP,Yes=0.184 / No=0.816
Will the Fed’s lower bound reach 2.0% or lower before 2027?,will-the-feds-lower-bound-reach-2pt0-or-lower-before-2027-998-393-918-642-545-695-628,https://polymarket.com/event/will-the-feds-lower-bound-reach-2pt0-or-lower-before-2027-998-393-918-642-545-695-628,0.0,15119.439082,8960.7025,2026-12-31T00:00:00Z,Fed,Yes=0.095 / No=0.905
Fed rate cut by September 2026 meeting?,fed-rate-cut-by-september-2026-meeting-264-382,https://polymarket.com/event/fed-rate-cut-by-september-2026-meeting-264-382,0.0,84693.54779299992,17082.46944,2026-06-17T00:00:00Z,Fed,Yes=0.5385 / No=0.4615
Fed rate cut by October 2026 meeting?,fed-rate-cut-by-october-2026-meeting-199-747,https://polymarket.com/event/fed-rate-cut-by-october-2026-meeting-199-747,0.0,37097.12389199999,26938.9593,2026-06-17T00:00:00Z,Fed,Yes=0.4685 / No=0.5315
Will the Fed cut rates before Kevin Warsh is confirmed as Fed Chair?,will-the-fed-cut-rates-before-kevin-warsh-is-confirmed-as-fed-chair,https://polymarket.com/event/will-the-fed-cut-rates-before-kevin-warsh-is-confirmed-as-fed-chair,0.0,36935.634753000006,15217.5262,2026-10-31T00:00:00Z,Fed,Yes=0.055 / No=0.945
Will the Fed’s upper bound reach 4.75% or higher before 2027?,will-the-feds-upper-bound-reach-4pt75-or-higher-before-2027-445-397,https://polymarket.com/event/will-the-feds-upper-bound-reach-4pt75-or-higher-before-2027-445-397,0.0,70201.41017500006,10370.81843,2026-12-31T00:00:00Z,Fed,Yes=0.0365 / No=0.9635
Will the Fed’s upper bound reach 5.25% or higher before 2027?,will-the-feds-upper-bound-reach-5pt25-or-higher-before-2027-679,https://polymarket.com/event/will-the-feds-upper-bound-reach-5pt25-or-higher-before-2027-679,0.0,139601.64896400005,11733.14695,2026-12-31T00:00:00Z,Fed,Yes=0.047 / No=0.953
Fed Rate Hike by October 2026 Meeting?,fed-rate-hike-by-october-2026-meeting,https://polymarket.com/event/fed-rate-hike-by-october-2026-meeting,0.0,374.197334,15086.5786,2026-12-09T00:00:00Z,Fed,Yes=0.17 / No=0.83
Will South African inflation be between 4.4% and 4.7% in 2026?,will-south-african-inflation-be-between-4pt4-and-4pt7-in-2026,https://polymarket.com/event/will-south-african-inflation-be-between-4pt4-and-4pt7-in-2026,0.0,12088.802273000005,1356.54067,2027-01-20T00:00:00Z,CPI,Yes=0.1925 / No=0.8075
Will South African inflation be between 4.1% and 4.4% in 2026?,will-south-african-inflation-be-between-4pt1-and-4pt4-in-2026,https://polymarket.com/event/will-south-african-inflation-be-between-4pt1-and-4pt4-in-2026,0.0,531.927155,1316.0765,2027-01-20T00:00:00Z,CPI,Yes=0.25 / No=0.75
Will South African inflation be between 3.8% and 4.1% in 2026?,will-south-african-inflation-be-between-3pt8-and-4pt1-in-2026,https://polymarket.com/event/will-south-african-inflation-be-between-3pt8-and-4pt1-in-2026,0.0,654.7357469999998,1351.90565,2027-01-20T00:00:00Z,CPI,Yes=0.1895 / No=0.8105
Will the Fed’s lower bound reach 1.25% or lower before 2027?,will-the-feds-lower-bound-reach-1pt25-or-lower-before-2027-683-273-676-864-498-519,https://polymarket.com/event/will-the-feds-lower-bound-reach-1pt25-or-lower-before-2027-683-273-676-864-498-519,0.0,948.200458,8595.13161,2026-12-31T00:00:00Z,Fed,Yes=0.2425 / No=0.7575
Will South African inflation be between 3.2% and 3.5% in 2026?,will-south-african-inflation-be-between-3pt2-and-3pt5-in-2026,https://polymarket.com/event/will-south-african-inflation-be-between-3pt2-and-3pt5-in-2026,0.0,362.50599,1401.76652,2027-01-20T00:00:00Z,CPI,Yes=0.225 / No=0.775
Will South African inflation be between 2.9% and 3.2% in 2026?,will-south-african-inflation-be-between-2pt9-and-3pt2-in-2026,https://polymarket.com/event/will-south-african-inflation-be-between-2pt9-and-3pt2-in-2026,0.0,349.60179,1396.10754,2027-01-20T00:00:00Z,CPI,Yes=0.162 / No=0.838
Will South African inflation be between 2.6% and 2.9% in 2026?,will-south-african-inflation-be-between-2pt6-and-2pt9-in-2026,https://polymarket.com/event/will-south-african-inflation-be-between-2pt6-and-2pt9-in-2026,0.0,270.217506,1506.51649,2027-01-20T00:00:00Z,CPI,Yes=0.1125 / No=0.8875
Will the April 2026 unemployment rate be 4.6%?,will-the-april-2026-unemployment-rate-be-4pt6,https://polymarket.com/event/will-the-april-2026-unemployment-rate-be-4pt6,0.0,1304.9277139999997,4461.06434,2026-05-08T00:00:00Z,Labor,Yes=0.041 / No=0.959
Will the April 2026 unemployment rate be ≥4.7%?,will-the-april-2026-unemployment-rate-be-4pt7,https://polymarket.com/event/will-the-april-2026-unemployment-rate-be-4pt7,0.0,2996.9959370000006,4760.09734,2026-05-08T00:00:00Z,Labor,Yes=0.038 / No=0.962
Will South African inflation be less than 2.6% in 2026?,will-south-african-inflation-be-less-than-2pt6-in-2026,https://polymarket.com/event/will-south-african-inflation-be-less-than-2pt6-in-2026,0.0,255.323168,767.2806,2027-01-20T00:00:00Z,CPI,Yes=0.2145 / No=0.7855
Will world GDP growth be 3.7%+ in 2026?,will-world-gdp-growth-be-3pt7-in-2026,https://polymarket.com/event/will-world-gdp-growth-be-3pt7-in-2026,0.0,771.2271319999999,1543.00925,2027-01-15T00:00:00Z,GDP,Yes=0.144 / No=0.856
Will world GDP growth be 3.6% in 2026?,will-world-gdp-growth-be-3pt6-in-2026,https://polymarket.com/event/will-world-gdp-growth-be-3pt6-in-2026,0.0,451.5482670000001,868.96005,2027-01-15T00:00:00Z,GDP,Yes=0.0115 / No=0.9885
Will world GDP growth be 3.5% in 2026?,will-world-gdp-growth-be-3pt5-in-2026,https://polymarket.com/event/will-world-gdp-growth-be-3pt5-in-2026,0.0,2990.747753999998,1425.91336,2027-01-15T00:00:00Z,GDP,Yes=0.0215 / No=0.9785
Will world GDP growth be 3.4% in 2026?,will-world-gdp-growth-be-3pt4-in-2026,https://polymarket.com/event/will-world-gdp-growth-be-3pt4-in-2026,0.0,3526.9691210000005,1592.98279,2027-01-15T00:00:00Z,GDP,Yes=0.0145 / No=0.9855
Will world GDP growth be 3.3% in 2026?,will-world-gdp-growth-be-3pt3-in-2026,https://polymarket.com/event/will-world-gdp-growth-be-3pt3-in-2026,0.0,1906.587253,1204.2138,2027-01-15T00:00:00Z,GDP,Yes=0.0185 / No=0.9815
Will world GDP growth be 3.2% in 2026?,will-world-gdp-growth-be-3pt2-in-2026,https://polymarket.com/event/will-world-gdp-growth-be-3pt2-in-2026,0.0,1568.283696,650.32015,2027-01-15T00:00:00Z,GDP,Yes=0.268 / No=0.732
Will South African inflation be between 3.5% and 3.8% in 2026?,will-south-african-inflation-be-between-3pt5-and-3pt8-in-2026,https://polymarket.com/event/will-south-african-inflation-be-between-3pt5-and-3pt8-in-2026,0.0,459.715205,1363.4275,2027-01-20T00:00:00Z,CPI,Yes=0.184 / No=0.816
